ID;expression1;expression2;sentence1;sentence2
het_354;main;maine;The main reason for his visit was to attend the meeting.;He spent his summer vacation in Maine last year.
het_1661;grime;crime;The mechanic removed the grime from the engine.;The government is trying to reduce crime in the city.
hom_1068; recipe for disaster; recipe for disaster; The manager's plan to launch the product without testing is a recipe for disaster.; The chef's new dish, titled "Recipe for Disaster," was meant to surprise the diners with unexpected flavors.
het_497;humerus;humorous;The humerus is the bone of the upper arm.;She made a humorous remark.
hom_382;beef;beef;He grilled the beef until it was tender.;They have had a beef since last week's meeting.
hom_985;sign off;sign off;After the meeting, she will sign off the call.;The sign language interpreter will sign off the ceremony.
het_218;phase;phase;The antenna engineers carefully adjusted the phase of the signal.;She is currently going through a rebellious phase.
hom_2237;instrumental;instrumental;His leadership was instrumental in achieving the project's success.;The band released an instrumental piece that showcased the guitarist's skills.
het_1054;metal;mettle;The sword was forged from strong metal.;She showed her mettle during the competition.
het_1118;missing u;missing you;The word 'church' is missing the letter 'u'.;They are missing you today.
het_264;lap;lapp;The cat likes to sit on your lap.;The Lapp culture is an integral part of northern Scandinavia.
hom_513;came back to me;came back to me;The idea finally came back to me after thinking for hours.;When I threw the boomerang, it came back to me.
hom_167;splitting headache;splitting headache;She had a splitting headache after the long meeting.;The tectonic plates are causing a splitting along the fault line.
hom_1143;charged;charged;The manager charged her assistant with organizing the event.;The Van de Graaff generator charged the particles with electricity.
hom_422;what you're missing;what you're missing;"You don't know what you're missing until you try the new restaurant.";"At the shooting range, he can't see what he's missing."
hom_922;pooped;pooped;After running the marathon, she was completely pooped.;The baby pooped in his diaper again.
hom_116;potty;potty;My father uses the potty every morning before breakfast.;My father was a little potty today, he was in a bad mood.
hom_1700;tired;tired;She is tired of working long hours without a break.;After running the marathon, he was extremely tired.
het_1528;latte;late;I ordered a latte before starting my workday.;I will be late if the meeting runs longer than expected.
hom_1934;suck;suck;The vacuum cleaner can suck up dirt efficiently.;He tends to suck at playing the guitar.
hom_1286;repulsed;re-pulsed;He felt repulsed by the foul smell in the room.;The cardiologist re-pulsed the patient's heart after the surgery.
het_1637;Peace;Peas;The Nobel Peace Prize is awarded to individuals who promote peace and fraternity among nations.;Gregor Mendel used peas in his experiments to study heredity.
hom_452;ruins;ruins;The archaeologists carefully excavated the ancient ruins.;His career ended in ruins after the scandal.
hom_787;you haven't changed;you haven't changed;After many years, she remarked, "You haven't changed," appreciating my consistent personality.;He replied, "There’s plenty of time for that," referring to not having changed his clothes before dinner.
het_1461; evenly; Eve; She handled the situation evenly, without showing any sign of distress.; Eve was considered the first woman according to the Bible.
het_867;mean;mean;The mean of the data set is 10.;She spoke to him in a mean manner.
hom_1049;legend;legend;The graph includes a legend to explain the different data series.;According to the legend, the hero retrieved the lost treasure.
het_1780;whined;wined;Tom whined about the bad service at the restaurant.;Tom wined at the local vineyard last evening.
hom_1755;Pops;pop;My son calls me Pops.;I bought a bottle of pop.
het_1027;coupe;coop;He bought a sleek coupe for his daily commute.;The chicken farmer built a sturdy coop to house his hens.
het_1012; ascent; assent; The hiker began his ascent at dawn to reach the mountain's summit.; After careful consideration, she gave her assent to the new proposal.
het_1244; feather; father; She collected a colorful feather from the bird's plumage.; During the ceremony, the father gave a heartfelt sermon.
hom_3;sting operation;sting operation;The authorities set up a sting operation to investigate the illegal activities.;The honeybee performed a sting operation after being disturbed.
hom_2210;takeoff;takeoff;The airplane's takeoff was smooth despite the strong headwinds.;Her latest skit was a hilarious takeoff of classic sitcom scenes.
het_784;Torrance;torrents;I visited Torrance last summer and enjoyed the local beaches.;During the monsoon, torrents of rain flooded the streets overnight.
het_213;wok;walk;She used a wok to prepare the evening meal.;He decided to walk to the park for some exercise.
het_534;side;slide;I sat on the side of the road, waiting for the bus.;The children enjoyed playing on the slide at the playground.
hom_677; log; log; The scientist wrote detailed entries in her log each morning.; The lumberjack struggled to lift the heavy log.
het_105;Harry;hairy;Harry decided to pursue a career in barbering.;The dog was extremely hairy, requiring regular grooming.
het_488; torque; talk; The engine generates high torque to rotate the gears.; She will give a talk at the conference.
hom_838;calling;calling;She pursued her calling to become a teacher.;She answered the calling from the customer.
het_1114;kernel;colonel;The farmer inspected each kernel to ensure the quality of his corn crop.;The colonel gave a detailed briefing to the troops before the mission.
hom_703;pressure;pressure;According to Boyle's law, the pressure of a gas is inversely proportional to its volume at constant temperature.;She felt immense pressure to complete the project by the deadline.
het_859;swore out;wore out;He swore out loudly during the argument.;He was completely worn out after the long day.
hom_1043;counter;counter;The cash was placed on the counter in the store.;The machine serves as a counter to keep track of the number of items sold.
het_1464;Dustin;dustin';My name is Dustin.;I am dustin' the school premises.
het_1254;splice;slice;The editor had to splice the damaged footage before continuing with the final cut.;She ordered a slice of pepperoni pizza for lunch.
het_1283;hamstring;hamstring;The runner injured his hamstring during practice.;The chef used the hamstring to prepare a delicious meal.
hom_2152;dribbling;dribbling;The midfielder showcased exceptional dribbling skills during the game.;Due to his medical condition, he was dribbling uncontrollably throughout the night.
het_1507;cherry;chary;She picked a ripe cherry from the tree.;He was chary of trusting strangers.
hom_638;expressions;expressions;The professor wrote complex expressions on the blackboard.;She had strange expressions on her face during the meeting.
het_386;baroque;broke;The orchestra performed several baroque pieces.;The guitar was broke after the fall and needed repair.
het_685;leek;leak;I planted a leek in my garden.;There is a leak in the garden hose.
hom_361;dead issue;dead issue;The manager declared the new policy a dead issue and moved on to other topics.;The novel centers on a dead issue, exploring themes of mortality and resurrection.
hom_1763;puzzle;puzzle;She spent the afternoon solving the new puzzle she bought.;It puzzles me why he didn't attend the meeting.
hom_2147;wired up;wired up;The electrical engineer wired up the new circuit board according to the design specifications.;The team was wired up and ready to start the project with enthusiasm.
het_1774;cue;queue;He swung his cue with precision during the game.;Customers formed a long queue outside the store.
hom_1513; atmosphere; atmosphere; The Earth's atmosphere is composed mainly of nitrogen and oxygen.; The café has a cozy atmosphere in the evenings.
het_1779;anagram;anagram;She enjoyed solving the anagram puzzles.;The package weighed five anagrams.
hom_1349; pointed; pointed; The teacher asked several pointed questions to probe the students' understanding.; He used his pointed index finger to indicate the correct answers on the board.
hom_1369;nailed;nailed;She nailed her exam by studying diligently.;He nailed the wooden board using a hammer in wood shop.
hom_897;shortage;short age;There is a shortage of thimbles available this season.;Children of a short age may need assistance with fine tasks like needlework.
hom_1071;standards;standards;The regiment proudly displayed their national standards during the ceremony.;She decided to let her standards down to maintain the friendship.
het_892;noncents;nonsense;The store advertised the item as costing noncents, meaning customers wouldn't need to use any coins.;Her explanation was pure nonsense, lacking any logical reasoning.
hom_1212;Holly;holly;Holly is organizing the holiday decorations for the office.;We hung holly on the doors to celebrate the festive season.
hom_2178;warranted;warranted;Her concern was fully warranted given the recent events.;The police conducted a warranted search based on the evidence.
hom_1945;good standing;good standing;He is in good standing with the local community organization.;After daily exercise, she maintains good standing during her yoga poses.
hom_588;steal away;steal away;The manager decided to steal away early to avoid traffic.;The thief was able to steal away valuable items unnoticed.
het_1293;son;sun;He has a son who plays football.;The sun rises in the east.
hom_870;clog;clog;She wore clogs to protect her feet while working in the workshop.;The factory machine became clogged, halting production.
het_1115;skin graph;skin graft;The patient underwent a skin graft to replace the damaged tissue.;The research team analyzed the skin graph to study the relationship between hydration levels and skin elasticity.
hom_51;fret;fret;She tends to fret over minor problems.;The guitarist needs to replace the worn frets on his instrument.
hom_1401;console;console;I tried to console her after hearing the bad news.;He bought a new console to play the latest video games.
het_1311;kneaded;needed;The massage therapist kneaded the client's tight muscles.;The massage therapist needed new customers.
het_1110;had been;had bin;She had been to the store earlier this morning.;She had bin in the garage.
het_829; manically; manacles; He spoke manically during his presentation.; The officer secured the suspect with manacles.
het_1018;lynx;links;A lynx was spotted in the Montana wilderness.;The golfers practiced their swings at the newest links in the region.
het_1539; crank; crack; The mechanic used a crank to start the engine.; Farmers often begin their day at the crack of dawn.
hom_615;go down well;go down well;The audience did not go down well with the director's new ideas.;The submarine will go down well into the ocean depths.
het_1549;adoringly;a door;She gazed adoringly at her partner.;Please close the door before you leave the room.
hom_960;spin;spin;He put a new spin on the project to make it more appealing.;The dealer began to spin the roulette wheel as the players placed their bets.
het_693; raze; raise; The construction company decided to raze the abandoned warehouse.; She plans to raise the funds needed for the new project.
het_1304; catarrh; Qatar; He was suffering from severe catarrh during the winter.; She booked a flight to Qatar for her vacation.
hom_416;crested;Crest;The river crested after the heavy rains.;She uses Crest toothpaste every morning.
hom_1495;develops;develops;Healthcare professionals monitor patients to ensure no new conditions develop.;After editing, the photographer took the roll of film to the lab to develop.
hom_1456;on track;on track;The project is on track and will be completed on time.;The railway constructions are on track with the new train lines.
hom_1365;May;may;We are planning to travel in May.;You may finish the project by Monday.
het_527;frieze;freeze;The frieze on the Greek temple was intricately designed.; The sudden drop in temperature caused the lake to freeze overnight.
het_247;doe;dough;The doe grazed peacefully in the meadow.;He saved some dough to buy a new laptop.
hom_2073;round up;round up;The farmer decided to round up all the cattle.;The accountant needed to round up the total to the nearest dollar.
hom_608; steal away; steal away; He decided to steal away from the meeting early.; The writer was accused of trying to steal away ideas from other authors.
hom_2066;momentum;momentum;The object's momentum is calculated by multiplying its mass by its velocity.;The campaign is struggling because it isn't gaining enough momentum among voters.
hom_2064;blowout;blowout;The store is having a blowout sale with great discounts.;The driver had a blowout on the highway and needed to change the tire.
het_80;cougher;offer;After the surgery, he became a frequent cougher.;She decided to offer her assistance to the team.
het_1654;tiers;tears;The wedding cake was decorated in multiple tiers.;She couldn't stop shedding tears during the emotional ceremony.
hom_1655;tablet;tablet;For fast relief, take two tablets.;The Ten Commandments were inscribed on two tablets.
Here is the requested -formatted output based on the provided pun:
het_1134;swayed;suede;After listening to the argument, I was swayed to change my opinion.;He bought a pair of suede shoes for the summer.
het_389;sirius;serious;The astronomer studied Sirius, the brightest star in the night sky.;She wasn't serious about her claim regarding the new star.
hom_194;money talks;money talks;During the science demonstration, the prototype money talks to the audience.;In the corporate world, it's often said that money talks and can influence decisions.
hom_2181;catch;catch;They were careful to look for any catch in the contract.;The fishermen were pleased with their catch today.
hom_1492; run; run; He likes to run every morning to stay fit.; She decided to run for office in the upcoming election.
hom_2124;looked up to him;looked up to him;"She really looked up to him for his achievements."; "Due to his height, everyone had to look up to him."
hom_1431;jump;jump;He decided to jump over the puddle.;She will jump out of the plane tomorrow.
het_1299;baited breath;bated breath;He waited with baited breath for the fish to bite.;She watched with bated breath as the results were announced.
hom_1368;comfortable condition;comfortable condition;The patient's condition was comfortable, with stable vital signs.;The bedroom was in a comfortable condition, furnished with soft pillows and cozy blankets.
hom_377;delay;delay;The project will face danger if there is a delay.;The audio delay caused the recording to be unusable.
hom_2002;a large number;a large number;Avogadro used a large number in his calculations.;He expected a large number of people to attend the meeting.
het_1123;other;udder;I have no other choice but to accept the offer.;The dairy farmer checked the cow's udder for any signs of infection.
hom_1374;dive;dive;The athlete performed a perfect dive into the pool during the competition.;After work, they decided to grab a drink at their favorite dive.
hom_74;high energy;high energy;The company is seeking high energy employees who are enthusiastic and motivated.;The electric company manages high energy levels to supply power to its customers.
hom_1841; on fire; on fire; The pastor is on fire, passionately leading the congregation.; The bonfire is on fire, providing warmth for roasting marshmallows.
het_1735;appropriate;appropriate;The guidelines were appropriate for the new project.;The organization decided to appropriate additional resources for expansion.
het_1392;cord;chord;He bought a cord of wood for the fireplace.;She played a beautiful chord on the piano.
hom_1803;drop off;drop off;After a long day, he began to drop off during the meeting.;She accidentally dropped off the side of the bed while reaching for her phone.
hom_154;pawn broker;pawn broker;The pawn broker provided a loan using personal items as collateral.;The pawn broker sold rare chess pawns to enthusiasts.
het_23;presenter;presenter;Melvyn Bragg served as the presenter of the South Bank Show in the 1970s.;The presenter handed out gifts to the event attendees.
hom_1351;undertaking;undertaking;Completing the renovation was a major undertaking.;After the funeral, the family contacted the undertaking to arrange the service.
het_1148;sole;soul;The sole was the only fish caught during the morning fishing trip.;She found peace by speaking to her soul every evening.
hom_1886;fan;fan;The fan in the room was making a lot of noise.;She is a big fan of the local soccer team.
het_986;billed;billed;They billed me a lot for the new house.;The bird is billed with a long beak.
het_22;punctually;puncture;Tom always arrives punctually to meetings.;The puncture in the tire caused the car to stop.
het_234; patience; patients; He needs patience to deal with difficult situations.; The clinic has many patients today.
hom_1515;Candy;candy;Candy is the head of the department.;She enjoys eating candy every day.
hom_463;pine;pine;He began to pine for his lost friendship.;The lumberjack harvested a pine from the forest.
het_282;marks;Marx;The teacher recorded each student's marks carefully.;Marx's theories have influenced modern political thought.
het_73;glowingly;glowingly;She spoke glowingly about her team's performance.;The stars were glowingly bright that night.
het_991;afoul;foul;If the team does not follow the regulations, they will be afoul of the governing body.;The player struck out after hitting a foul ball into the stands.
hom_806;charged up;charged up;He was charged up about his promotion.;The engineer needed to charge up the battery before testing the device.
het_194;haulways;hallways;Truckers depend on haulways for transporting their loads;The school has long hallways connecting each classroom.
hom_1775;faults;faults;Despite his many faults, he remained a beloved leader.;The region is prone to earthquakes along several faults.
het_662;descent;decent;The descent of the royal family can be traced back several centuries.;She received a decent education from her local community college.
het_1035;liquidation;liquidation;The company entered liquidation after failing to meet its financial obligations.;The store offered a liquidation sale, heavily discounting all bottled water.
hom_2197;Nick;Nick;Nick introduced himself at the meeting.;He accidentally gave the client a nick while cutting their hair.
hom_635;degree;degree;She completed her degree in engineering at the university.;The degree of ambiguity in the instructions caused confusion.
hom_851;swept up;swept up;They were swept up in the excitement of the parade.;Janitors swept up the fallen leaves in the lobby.
hom_1913;forms;forms;There are many forms of government, each with its own structure and policies.;You need to fill out several forms to apply for the new permit.
het_6;be good;be good;"You should strive to be good and behave well.";"This product is expected to be good and of high quality."
het_1031; allowed; aloud; The manager allowed the employees to work from home on Fridays.; She read the poem aloud to the audience.
het_362;pair;pear;She bought a new pair of shoes.;He ate a ripe pear for dessert.
het_87;juggler;jugular;The juggler amazed the audience with his skill.;The surgeon carefully approached the patient's jugular to stabilize the condition.
het_90;mused;mewsed;Tom mused about the implications of the project.;The cats mewsed loudly late into the night.
hom_1801;chops;chops;The karate expert demonstrated his powerful chops during training.;She prepared succulent pork chops for the family dinner.
hom_412;change;change;I need some change to pay for my sandwich.;We decided to change the menu for the summer.
het_582;briefly;brief;She spoke briefly during the meeting to save time.;He submitted a brief to the court outlining his arguments.
het_1578; wholeheartedly; wholeheartedly; She agreed wholeheartedly to the proposal.; The artichoke grower tended to his plants wholeheartedly.
hom_1596; add up; add up; The math teacher asked the students to add up the numbers in the equation.; His story didn't add up, raising suspicions among his colleagues.
het_1608;whined;wined;She whined about the constant delays in the project.;They wined at the vineyard during their vacation.
hom_1560;high;high;He decided to get high on the weekend.;The airplane flew high above the city.
hom_858;digital;digital;The new phone includes many digital features.;She made a digital gesture during her prayer.
het_292;flare;flair;Scientists studying the sun observed a powerful flare yesterday.;The professor has a flair for research, excelling in innovative projects.
hom_563; fall; fall; After slipping on the ice, he experienced a painful fall.; The weather becomes chilly and leaves turn vibrant in the fall.
hom_576;boot;boot;He was given the boot by his employer.;She polished her boot for the ceremony.
hom_128;pitch;pitch;The entrepreneur delivered an impressive pitch to potential investors.;The pitcher threw a perfect pitch during the championship game.
het_602; leer; lear; She couldn't help but leer at the stranger.; The company ordered a new Lear for their executive.
het_410;slowly;sloe;Tom walked slowly to the store.;She picked a sloe from the blackthorn bush.
het_1401;weigh;whey;She needs to weigh herself every morning to monitor her progress.;Cottage cheese consists of curds and whey.
het_305;Geronimo;Geronimo;During the mission, he shouted "Geronimo" to boost morale.;Geronimo was a respected leader in his community.
hom_2012; touchy subject; touchy subject; Raising the issue of budget cuts is a touchy subject among the board members.; Their relationship thrived on a touchy subject, often expressed through gentle physical affection.
hom_1379;opinion;opinion;She shared her opinion on the new policy during the meeting.;The judge issued his legal opinion on the case.
hom_1132; roots; roots; She was proud to rediscover her Italian roots.; The gardener carefully examined the roots of the new saplings.
het_1427;suite;sweet;He booked a luxurious suite for his vacation.;She has a sweet tooth and loves desserts.
het_1241;grieves;greaves;She grieves over the loss of her pet.;The knight wore greaves to protect his shins during battle.
hom_1268;milk;milk;The dairy farmer milked the cows every morning to ensure a steady supply of fresh milk.;The marketing team decided to milk the recent trend for their next advertising campaign.
het_568;laughs at;locks myths;The comedian laughs at everyday situations to entertain the audience.;The new policy locks myths from being circulated further.
hom_29;sandy;sandy;Sandy enjoys spending her days at the beach.;The beach is very sandy this time of year.
het_545;private;private;The private reported for duty at dawn.;She had a private conversation with her friend.
hom_325; account; account; He is of no account within the organization.; She checked her bank account balance online.
hom_1719;unleash;unleash;The coach aims to unleash the players' full potential this season.;Every evening, he unleashes his dog at the local park.
hom_1270;wrapped up;wrapped up;She wrapped up in a warm blanket to stay cozy.;He is very wrapped up in himself and ignores others around him.
hom_1052;crop;crop;The farmer harvested a bountiful crop this season.;The rider swung the crop to encourage the horse to move faster.
het_1573;fired;fired;She was fired from her job due to poor performance.;The pottery was fired in the kiln at 1000 degrees.
het_759;incremental;mental;The project progressed in incremental stages, with each phase building upon the previous one.;After hearing the bad news, he went mental and couldn't focus on his work.
het_1674;Korea;career;He decided to move to Korea to explore its culture.;She is focused on advancing her career in marketing.
het_251;Wilde;wild;He admired the works of Oscar Wilde.;The forest was extremely wild.
het_1468;testy;testi;After receiving the criticism, she became quite testy during the meeting.;The athlete injured his testi during the match and had to retire early.
het_1033; assay; say; They decided to assay the gold to determine its purity.; She didn't know what to say in the situation.
het_645;creek;creak;The children played by the creek on a sunny afternoon.;The old stairs continued to creak with every step.
hom_762;viewpoints;viewpoints;The hilltop provided excellent viewpoints for observing the sunset.;Her viewpoints on climate change influenced the policy decisions.
het_480;caw;call;The crow's loud caw echoed through the morning air.;He decided to make a collect call since he had no credit left on his phone.
het_1569;die;dye;He didn't want to die without seeing his children grow up.;She decided to dye the fabric a vibrant red.
hom_2110; drop over; drop over; I plan to drop over to Lisa's house this evening to see her new painting.; Be careful not to drop over the cliff while hiking at the edge.
hom_1629;wind down;wind down;Every evening, the watchmaker winds down the intricate mechanisms of the timepieces to ensure their accuracy.;After a long day at work, she likes to wind down by reading a book.
hom_1273;Rome;roam;Rome is the capital city of Italy.;The cattle were allowed to roam freely in the pasture.
hom_2068;pointless;pointless;The professor delivered his lecture without using a pointer, leaving it pointless.;The professor found his lecture to be pointless due to lack of meaningful content.
het_1614;Caesars;Scissors;Brutus served under the Caesars during the Roman Empire.;Please be careful not to run with those scissors.
het_657;rationally;rationally;He approached the problem rationally, considering all possible solutions.;A number is rationally expressed as the quotient of two integers.
het_159;hostel;hostile;During the backpacking trip, they decided to stay at a cozy hostel in the city center.;The negotiations broke down as the opposing team became increasingly hostile.
hom_1172;drooling at the thought;drooling at the thought;Pavlov was physically drooling when presented with food.;Pavlov was eagerly anticipating the outcome of his new experiment.
hom_2027;outlook;outlook;Her positive outlook helped her overcome many challenges.;He checked his Outlook to see if he received any new emails.
het_1557;waffle;awful;I had a delicious waffle for breakfast this morning.;The weather today is awful.
het_870;axe;adze;He used an axe to chop the wood for the fireplace.;The carpenter employed an adze to shape the wooden beams.
hom_346;in stitches;in stitches;After the surgery, the patient was in stitches.;The comedian had the audience in stitches with his jokes.
hom_2138;ticks;ticks;He could hear the quiet ticks of the old clock in the study.;The veterinarian warned us about the dangers of ticks spreading Lyme disease.
hom_274;dribble;dribble;The player must dribble the basketball to advance towards the hoop.;After eating, he couldn't stop the dribble of saliva from his mouth.
het_160;smile;cry;She decided to smile despite the challenges.;He felt so sad that he began to cry.
hom_1246;vegetate;vegetate;The gardener continues to vegetate several rows of vegetables every spring.;After retiring, he tends to vegetate during most of his days, watching television.
het_306;lame;lame;The horse became lame after the injury.;His excuse for being late was quite lame.
hom_1300; sentence; sentence; She crafted a beautiful sentence for her essay.; The judge handed down a harsh sentence to the defendant.
hom_834; crown; crown; The dentist placed a crown on my molar.; The queen wore a golden crown during the ceremony.
hom_1476; roped; roped; He was roped into organizing the company event despite his busy schedule.; During the rodeo, the cowboy successfully roped the calf.
hom_497;impression;impression;She made a detailed impression on the clay sculpture.;He left a bad impression during his interview.
hom_138;pitch;pitch;The pitcher threw a fast pitch during the game.;She adjusted the pitch of her voice before singing.
het_235;lute;loot;The orchestra featured a beautiful lute.;The thief stole a large amount of loot.
hom_93;branch manager;branch manager;After years of hard work, John was promoted to branch manager of the local bank.;The arborist was known as the branch manager, overseeing the pruning of numerous tree branches.
het_496;illusions of grandeur;illusions of grandeur;The magician used illusions of grandeur to captivate the audience.;The CEO was criticized for having illusions of grandeur, believing he could transform the entire industry alone.
het_1032;guessed;guest;She guessed the answer correctly;He was a guest at the party.
hom_2107;needling;needling;When the supervisor is stressed, she keeps needling her employees for progress updates.;Nurses keep needling patients to administer their medications.
hom_279;wax;wax;He began to wax eloquent about the benefits of renewable energy.;The candles are made of high-quality wax.
hom_691;Jerky;Jerky;The truck's jerky ride made the cargo unstable.;She always packs beef jerky in her backpack for snacks.
het_176;DEL;dell;Please press the DEL key to remove the selected item.;She enjoyed walking through the dell on a sunny afternoon.
hom_1938;touch;touch;The massage therapist uses a gentle touch to relax her clients.;The interior designer added a touch of elegance to the living room.
hom_1873; cell; cell; The prisoner's cell was small and cramped.; The human body is composed of billions of cells.
hom_655; afraid; afraid; She is afraid of spiders.; He was afraid the book wouldn't help him.
het_690;Jim;gym;Jim is my name.;Boxers train in the gym.
hom_1296;highlight;highlight;He used a highlighter to mark important passages in his textbook.;Winning the award was the highlight of her day.
het_261; fissure; fisher; The earthquake created a wide fissure in the earth's surface.; The fisher cast his net into the river.
het_1590; oddly; odds; She spoke oddly during the interview.; The odds of winning the game are low.
hom_1952;space;space;Astronomers explore the vastness of space.;The furniture was rearranged to make more space in the room.
het_990;dogmatized;dogmatized;My professor dogmatized his theories, leaving no room for debate.;In the fantasy story, the wizard dogmatized the prince into a dog.
het_1700;hertz;hurts;The engine's operation is measured in hertz to ensure efficiency.;After the fall, her ankle hurts.
het_788;tock;talk;The clock makes a tock sound every second.;They had a long talk about the project.
hom_1602;shorts;shorts;She bought new shorts for the summer.; The electrician fixed the shorts in the circuit.
hom_854;run;run;The meeting will run according to the planned schedule.;Athletes will run laps during the track meet.
hom_70;snap;snap;The vine can snap under strong winds.;She tends to snap when she is stressed.
het_940;pigment;figment;The artist mixed different pigments to create the perfect shade for the painting.;The strange creature was merely a figment of his imagination.
hom_1665;landing;landing;She was successful at landing a job in the competitive market.;The pilot skillfully executed the landing of the plane despite the bad weather.
het_802;hosta environment;hostile environment;The garden club decorated their space with a hosta environment full of vibrant plants.;After the disagreement, Sarah felt she was working in a hostile environment.
het_535;lies;lice;She told many lies to deceive others.;The child has lice and needs treatment.
hom_478; pay attention; pay attention; Please pay attention to the teacher during the lesson.; They had to pay attention to secure the best seat at the concert.
het_250;fade away;spade away;The colors of the fabric will fade away after many washes.;Each morning, the gravediggers spade away the dirt for new graves.
hom_650;still;still;I still love her despite the challenges.;The farmer checked the still to monitor the distillation process.
hom_433;vegetable;vegetable;The farmer planted various vegetables in the garden.;After the accident, he was in a vegetative state.
hom_1694;blew it;blew it;He blew it by missing his chance at the audition.;He blew it into the trumpet to create a beautiful melody.
het_1338; suspense;suspend a;She was on the edge of her seat, full of suspense during the thriller.;Please suspend a turkey from the tree branch for display.
hom_1420;relayed;relaid;They relayed the information to all the departments.;She relaid the tiles after removing the old ones.
hom_2017;cabinet;cabinet;The President discussed the new policy with his cabinet during the afternoon meeting.;She opened the cabinet to find the plates and silverware.
het_1699; waste; waist; People are taking measures to prevent food from going to waste.; People are concerned that too much food is going to their waist.
het_1391;launch;lunch;The rocket will launch at dawn.;They decided to have lunch together after the meeting.
het_215; Manuel; manual; Manuel is an experienced author.; Please refer to the manual for detailed instructions.
het_1002;weakly;weekly;Tom weakly tried to lift the heavy box.;Tom visits his parents weekly.
het_618;Sundays;sundaes;We often relax and spend time with family on Sundays.;After dinner, she treated herself to a chocolate sundae.
hom_1698;blazes;blazes;The firefighters worked tirelessly to extinguish the blazes.;After the prank, he knew he was going to blazes.
hom_301; chick flick; chick flick; She enjoys watching a chick flick on Friday nights.; The farmer screened a chick flick documenting the growth of baby hens.
hom_133; dough; dough; He made a lot of dough last year, thanks to his successful business.; She kneaded the dough for the bread.
het_575;scenter;center;The police employed a scenter to detect hidden narcotics.;The meeting was held at the center of the conference room.
hom_1141;grounded;grounded;After breaking the rules, she was grounded and had to stay home.;The electrician ensured that all electrical systems were properly grounded for safety.
hom_2081;spot;spot;There is a spot on my shirt that needs cleaning.;Let's meet at that spot by the fountain.
het_537;suite;sweet;The hotel suite offers a panoramic ocean view.;She enjoys sweet treats after dinner.
hom_1321;posted;posted;She posted the letter at the post office.;He keeps me posted about the meeting.
hom_1764;weight;weight;She lifted a heavy weight during her workout.;His experience gives his opinion a lot of weight in the decision-making process.
het_472;Russell;rustle;Russell decided to run for city council.;The rustle of the cattle was heard late at night.
het_1260;temper tantrum;temple tantrum;The child's temper tantrum lasted for several minutes in the grocery store.;The monk's temple tantrum startled the visitors who were meditating quietly.
hom_996;thrown;thrown;He was completely thrown by the unexpected news.;The machine threw the object across the room.
het_678;crutch on her;crush on her;She always used a crutch on her to walk after breaking her leg.;He couldn't hide his crush on her during the slow dances.
het_888;whole tooth;whole truth;The dentist inspected the whole tooth carefully.;I need to tell you the whole truth.
het_1379;SOB;SOB;During the heated argument, John insulted his opponent by calling him an SOB.;After running the marathon, she experienced severe SOB and had to sit down.
hom_1107;relief;relief;She felt immense relief after finishing the project.;The relief of the terrain was accurately portrayed on the map.
het_633; sage; sage; Tom spoke sage advice during the meeting.; The stuffing recipe calls for fresh sage.
het_1; alleged; a ledge; The witness alleged that he saw the event occur.; The hiker placed his hands on a ledge halfway up the mountain.
hom_612;heartless;heartless;The manager made a heartless decision to lay off several employees.;The cardiologist specialized in treating heartless conditions.
het_1455;Abbie;abbey;Abbie is planning to visit her grandparents this weekend.;The abbey was founded in the 13th century and remains a place of worship.
hom_9;too deep;too deep;The theoretical concepts were too deep for the beginners to understand.;The construction team found that the mine shaft was too deep to reach with the current equipment.
het_876;Les;less;Les is attending the conference on nutrition.;She decided to eat less to improve her health.
hom_1111;miss;miss;I miss my family after moving abroad.;He missed the target in the archery competition.
hom_320;scratch;scratch;She had to scratch her itchy arm after the flea bites.;They built the house from scratch without using any pre-fabricated materials.
hom_366;prune;prune;I need to prune the branches of the tree to ensure healthy growth.;I ate a prune for dessert.
hom_5;forge;forge;She decided to forge a new path in her career.;The blacksmith forged a horseshoe in his workshop.
het_485;naval;navel;The naval fleet was instrumental in securing the coastline.;She decorated her navel with a sparkling belly ring.
hom_1053;coming;cumming;The train is coming to the station.;He felt himself cumming during the intimate moment.
hom_1955;breeze;breeze;A gentle breeze blew through the trees.;The exam was a breeze for her.
hom_1921;stuffed;stuffed;After the buffet dinner, I was feeling really stuffed.;The taxidermist carefully stuffed the deer for display.
hom_1504;functions;functions;Mathematicians often work with complex functions in their research.;As people age, they may lose some of their bodily functions.
hom_500;shots;shots;The witness reported that three shots were fired during the incident.;She ordered four shots of tequila for her birthday celebration.
hom_1766;blazes;blazes;The firefighters worked tirelessly to extinguish the blazes.;After the argument, he decided to go to blazes.
het_227;geek;Greek;She is a proud geek who loves coding and technology.;He studied ancient Greek literature at university.
hom_424; knit; knit; She decided to knit a warm blanket for the winter.; He began to knit his eyebrows in concentration during the meeting.
hom_1794;shortening;shortening;I need to buy shortening for baking the biscuits.;The speaker is shortening the speech to keep the audience engaged.
hom_1879; bun; bun; She styled her hair into a neat bun.; The hot dogs were served in fresh buns.
het_1492;soul;sole;She sought soul repair through counseling and meditation.;The cobbler offered sole repair services for all types of shoes.
het_72;past;pasta;The milk is past its prime and should be thrown out.;The leftover spaghetti is pasta its prime.
het_1501;unassailable;unsailable;The fortress was unassailable.;The pirate ship was unsailable without proper sails.
